Match-ID,Date,Game
Matches/MatchScorecard_ODI.asp?MatchCode=2259,2004-08-31,2004-2005 Sri Lanka v South Africa  - 5th ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2263,2004-09-05,2004 England v India  - 3rd ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2266,2004-09-11,2004 ICC Champions Trophy  - 3rd ODI - India v Kenya -  
Matches/MatchScorecard_ODI.asp?MatchCode=2290,2004-11-28,2004-2005 Zimbabwe v England  - 1st ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2291,2004-12-01,2004-2005 Zimbabwe v England  - 2nd ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2292,2004-12-04,2004-2005 Zimbabwe v England  - 3rd ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2297,2004-12-23,2004-2005 Bangladesh v India  - 1st ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2298,2004-12-26,2004-2005 Bangladesh v India  - 2nd ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2300,2004-12-27,2004-2005 Bangladesh v India  - 3rd ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2302,2005-01-14,2004-2005 VB Series  - 1st ODI - Australia v West Indies -  
Matches/MatchScorecard_ODI.asp?MatchCode=2303,2005-01-16,2004-2005 VB Series  - 2nd ODI - Australia v Pakistan -  
Matches/MatchScorecard_ODI.asp?MatchCode=2304,2005-01-19,2004-2005 VB Series  - 3rd ODI - Pakistan v West Indies -  
Matches/MatchScorecard_ODI.asp?MatchCode=2305,2005-01-20,2004-2005 Bangladesh v Zimbabwe  - 1st ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2306,2005-01-21,2004-2005 VB Series  - 4th ODI - Australia v West Indies -  
Matches/MatchScorecard_ODI.asp?MatchCode=2307,2005-01-23,2004-2005 VB Series  - 5th ODI - Australia v Pakistan -  
Matches/MatchScorecard_ODI.asp?MatchCode=2308,2005-01-24,2004-2005 Bangladesh v Zimbabwe  - 2nd ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2310,2005-01-26,2004-2005 VB Series  - 6th ODI - Australia v West Indies -  
Matches/MatchScorecard_ODI.asp?MatchCode=2309,2005-01-26,2004-2005 Bangladesh v Zimbabwe  - 3rd ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2311,2005-01-28,2004-2005 VB Series  - 7th ODI - Pakistan v West Indies -  
Matches/MatchScorecard_ODI.asp?MatchCode=2312,2005-01-29,2004-2005 Bangladesh v Zimbabwe  - 4th ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2315,2005-01-31,2004-2005 Bangladesh v Zimbabwe  - 5th ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2318,2005-02-04,2004-2005 VB Series  - 10th ODI (1st Final) - Australia v Pakistan -  
Matches/MatchScorecard_ODI.asp?MatchCode=2320,2005-02-06,2004-2005 VB Series  - 11th ODI (2nd Final) - Australia v Pakistan -  
Matches/MatchScorecard_ODI.asp?MatchCode=2333,2005-04-02,2004-2005 India v Pakistan  - 1st ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2334,2005-04-05,2004-2005 India v Pakistan  - 2nd ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2335,2005-04-09,2004-2005 India v Pakistan  - 3rd ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2336,2005-04-12,2004-2005 India v Pakistan  - 4th ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2337,2005-04-15,2004-2005 India v Pakistan  - 5th ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2338,2005-04-17,2004-2005 India v Pakistan  - 6th ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2341,2005-05-11,2004-2005 West Indies v South Africa  - 3rd ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2342,2005-05-14,2004-2005 West Indies v South Africa  - 4th ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2343,2005-05-15,2004-2005 West Indies v South Africa  - 5th ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2344,2005-05-18,2004-2005 West Indies v Pakistan  - 1st ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2345,2005-05-21,2004-2005 West Indies v Pakistan  - 2nd ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2347,2005-06-16,2005 Natwest Series  - 1st ODI - England v Bangladesh -  
Matches/MatchScorecard_ODI.asp?MatchCode=2348,2005-06-18,2005 Natwest Series  - 2nd ODI - Australia v Bangladesh -  
Matches/MatchScorecard_ODI.asp?MatchCode=2350,2005-06-21,2005 Natwest Series  - 4th ODI - England v Bangladesh -  
Matches/MatchScorecard_ODI.asp?MatchCode=2352,2005-06-25,2005 Natwest Series  - 6th ODI - Australia v Bangladesh -  
Matches/MatchScorecard_ODI.asp?MatchCode=2353,2005-06-26,2005 Natwest Series  - 7th ODI - England v Bangladesh -  
Matches/MatchScorecard_ODI.asp?MatchCode=2355,2005-06-30,2005 Natwest Series  - 9th ODI - Australia v Bangladesh -  
Matches/MatchScorecard_ODI.asp?MatchCode=2360,2005-07-30,2005-2006 Indian Oil Cup  - 1st ODI - Sri Lanka v India -  
