Players,playerid
Jhye Richardson  (Australia),PlayerID=4650
Anrich Nortje  (South Africa),PlayerID=4929
Jos Butler  (England),PlayerID=3888
Ravindra Jadeja  (India),PlayerID=3644
Sheldon Cottrell  (West Indies),PlayerID=4249
Peter Handscomb  (Australia),PlayerID=4558
Denesh Ramdin  (West Indies),PlayerID=3285
Mushfiqur Rahim  (Bangladesh),PlayerID=3279
Hussain Talat  (Pakistan),PlayerID=4746
Hazratullah Zazai  (Afghanistan),PlayerID=4615
Faheem Ashraf  (Pakistan),PlayerID=4690
Hardik Pandya  (India),PlayerID=4399
George Worker  (New Zealand),PlayerID=4477
Shivam Dube  (India),PlayerID=4945
Iftikhar Ahmed  (Pakistan),PlayerID=4488
Greg Thompson  (Ireland),PlayerID=3540
Asghar Afghan  (Afghanistan),PlayerID=3667
Tim Southee  (New Zealand),PlayerID=3542
Yamin Ahmadzai  (Afghanistan),PlayerID=4507
John Hastings  (Australia),PlayerID=3831
Neil Broom  (New Zealand),PlayerID=3634
Khaleel Ahmed  (India),PlayerID=4539
Max Sorensen  (Ireland),PlayerID=3941
Vernon Philander  (South Africa),PlayerID=3476
Usman Ghani  (Afghanistan),PlayerID=4300
Stuart Broad  (England),PlayerID=3434
Shane Getkate  (Ireland),PlayerID=4855
Rubel Hossain  (Bangladesh),PlayerID=3635
James Vince  (England),PlayerID=4419
Ben Duckett  (England),PlayerID=4596
Hamish Bennett  (New Zealand),PlayerID=3829
Bhuvneshwar Kumar  (India),PlayerID=3991
Anton Devcich  (New Zealand),PlayerID=4248
Scott Kuggeleijn  (New Zealand),PlayerID=4685
Rovman Powell  (West Indies),PlayerID=4605
Sunil Narine  (West Indies),PlayerID=3922
Kedar Jadhav  (India),PlayerID=4033
Aaron Finch  (Australia),PlayerID=3845
Chris Woakes  (England),PlayerID=3846
Thomas Blundell  (New Zealand),PlayerID=4624
Andile Phehlukwayo  (South Africa),PlayerID=4588
Matthew Henry  (New Zealand),PlayerID=4257
David Willey  (England),PlayerID=4420
Todd Astle  (New Zealand),PlayerID=3978
Mohammad Naim  (Bangladesh),PlayerID=5659
Nathan Coulter-Nile  (Australia),PlayerID=4001
Cameron White  (Australia),PlayerID=3325
Rashid Khan  (Afghanistan),PlayerID=4484
James Faulkner  (Australia),PlayerID=3930
Jean-Paul Duminy  (South Africa),PlayerID=3208
Mitchell McClenaghan  (New Zealand),PlayerID=3984
Abul Hasan  (Bangladesh),PlayerID=3965
Gulbadin Naib  (Afghanistan),PlayerID=3877
Tamim Iqbal  (Bangladesh),PlayerID=3461
Mitchell Marsh  (Australia),PlayerID=3912
