name,gametype,longname,retired
3798,Test Cricket,Asad Shafiq  (Pakistan),False
5114,T20 Internationals,Asad Mohammad  (Germany),False
5917,T20 Internationals,Asad Ali Rehemtulla  (Bulgaria),False
5486,T20 Internationals,Aryaman Sunil  (Singapore),False
5627,T20 Internationals,Arslan Ahmed  (Portugal),False
5693,T20 Internationals,Arslan Ahmed  (Greece),False
5790,T20 Internationals,Arshad Mazarzei  (Iran),False
5459,T20 Internationals,Arshad Hayat  (Czech Republic),False
5470,T20 Internationals,Arsalan Arif  (Austria),False
5576,T20 Internationals,Pedro Arrighi  (Argentina),False
5080,T20 Internationals,Puneet Arora  (Mexico),False
5009,T20 Internationals,Bikram Arora  (Malta),False
5493,T20 Internationals,Aritra Dutta  (Singapore),False
5146,T20 Internationals,Zephania Arinaitwe  (Uganda),False
4735,T20 Internationals,Ariful Haque  (Bangladesh),False
4735,One Day Internationals,Ariful Haque  (Bangladesh),False
4735,Test Cricket,Ariful Haque  (Bangladesh),False
5326,T20 Internationals,Areeb Quadir  (Finland),False
4777,T20 Internationals,Jofra Archer  (England),False
4777,One Day Internationals,Jofra Archer  (England),False
4777,Test Cricket,Jofra Archer  (England),False
5756,T20 Internationals,Vriitya Aravind  (United Arab Emirates),False
5756,One Day Internationals,Vriitya Aravind  (United Arab Emirates),False
5187,T20 Internationals,Shameera Arachchige  (Italy),False
5013,T20 Internationals,Samuel Aquilina  (Malta),False
5423,T20 Internationals,Aqib Iqbal  (Austria),False
4500,T20 Internationals,Aqib Ilyas  (Oman),False
4500,One Day Internationals,Aqib Ilyas  (Oman),False
5015,T20 Internationals,Sujesh Appu  (Malta),False
4580,T20 Internationals,M Amila Aponso  (Sri Lanka),False
5088,T20 Internationals,Garret Banner  (Belize),False
5054,T20 Internationals,Andrew Banner  (Belize),False
5037,T20 Internationals,Buddhadeb Banerjee  (Mexico),False
5520,T20 Internationals,Lakmal Bandara  (Iceland),False
5518,T20 Internationals,Dushan Bandara  (Iceland),False
4564,T20 Internationals,Chaminda Bandara  (Sri Lanka),True
4564,One Day Internationals,Chaminda Bandara  (Sri Lanka),True
4521,T20 Internationals,Cameron Bancroft  (Australia),True
4521,Test Cricket,Cameron Bancroft  (Australia),False
4234,One Day Internationals,Gary Ballance  (England),True
4234,Test Cricket,Gary Ballance  (England),True
4568,T20 Internationals,Jacob Ball  (England),False
4568,One Day Internationals,Jacob Ball  (England),False
4568,Test Cricket,Jacob Ball  (England),False
5190,T20 Internationals,Baljit Singh  (Italy),False
3809,T20 Internationals,Andy Balbirnie  (Ireland),False
3809,One Day Internationals,Andy Balbirnie  (Ireland),False
3809,Test Cricket,Andy Balbirnie  (Ireland),False
5161,T20 Internationals,Vinoo Balakrishnan  (Botswana),False
5133,T20 Internationals,Rexford Bakum  (Ghana),False
5172,T20 Internationals,Godfred Bakiweyem  (Ghana),False
5906,T20 Internationals,Bakhtiar Tahiri  (Bulgaria),False
5308,T20 Internationals,James Baker  (Samoa),False
3900,T20 Internationals,Jonny Bairstow  (England),False
3900,One Day Internationals,Jonny Bairstow  (England),False
3900,Test Cricket,Jonny Bairstow  (England),False
3929,T20 Internationals,George Bailey  (Australia / ICC World XI),True
3929,One Day Internationals,George Bailey  (Australia),True
3929,Test Cricket,George Bailey  (Australia),True
5718,T20 Internationals,Moazzam Baig  (Malawi),False
5140,T20 Internationals,Kofi Bagabena  (Ghana),False
3959,T20 Internationals,Samuel Badree  (West Indies / ICC World XI),False
5772,One Day Internationals,Badal Singh  (Oman),False
5642,T20 Internationals,Marc Bacarese  (Gibraltar),False
4277,T20 Internationals,Babar Hayat  (Hong Kong),True
4277,One Day Internationals,Babar Hayat  (Hong Kong),False
4425,T20 Internationals,Babar Azam  (Pakistan),False
4425,One Day Internationals,Babar Azam  (Pakistan),False
4425,Test Cricket,Babar Azam  (Pakistan),False
4866,T20 Internationals,Babar Ali  (Bahrain),False
5023,T20 Internationals,Stephan Baard  (Namibia),False
5023,One Day Internationals,Stephan Baard  (Namibia),False
5132,T20 Internationals,Frank Baaleri  (Ghana),False
5755,T20 Internationals,Azyan Farhath  (Maldives),False
5101,T20 Internationals,Aziz Mohammad  (Belgium),False
3816,One Day Internationals,Azhar Ali  (Pakistan),False
3816,Test Cricket,Azhar Ali  (Pakistan),False
5122,T20 Internationals,Abiola Ayannaike  (Nigeria),False
4580,One Day Internationals,M Amila Aponso  (Sri Lanka),False
5669,T20 Internationals,Apon Mustafizur  (Serbia),False
5803,T20 Internationals,Aphsal Ashraf  (Kuwait),False
5279,T20 Internationals,Anwar Rahman  (Malaysia),False
5269,T20 Internationals,Anwar Arudin  (Malaysia),False
4351,T20 Internationals,Anshuman Rath  (Hong Kong),True
4351,One Day Internationals,Anshuman Rath  (Hong Kong),False
5825,T20 Internationals,Ansh Tandon  (United Arab Emirates),False
5872,T20 Internationals,Matthew Ansell  (Isle of Man),False
4418,One Day Internationals,Zafar Ansari  (England),True
4418,Test Cricket,Zafar Ansari  (England),True
5224,T20 Internationals,Ansar Iqbal  (Norway),False
5258,T20 Internationals,Anowarul Islam  (Thailand),False
5135,T20 Internationals,David Ankrah  (Ghana),False
5043,T20 Internationals,Revanakumar Ankad  (Mexico),False
5237,T20 Internationals,Anique Uddin  (Denmark),False
5574,T20 Internationals,Bruno Angeltti  (Argentina),False
5697,T20 Internationals,Alexandros Anemogiannis  (Greece),False
5139,T20 Internationals,Daniel Anefie  (Ghana),False
3065,T20 Internationals,James Anderson  (England),True
3065,One Day Internationals,James Anderson  (England),True
3065,Test Cricket,James Anderson  (England),False
4327,T20 Internationals,John Anderson  (Ireland),True
4327,One Day Internationals,John Anderson  (Ireland),True
3983,T20 Internationals,Corey Anderson  (New Zealand),False
3983,One Day Internationals,Corey Anderson  (New Zealand),True
3983,Test Cricket,Corey Anderson  (New Zealand),True
4862,T20 Internationals,Anasim Khan  (Bahrain),False
3979,T20 Internationals,Anamul Haque  (Bangladesh),True
4275,One Day Internationals,Aizaz Khan  (Hong Kong),False
4440,T20 Internationals,Pradeep Airee  (Nepal),False
3703,T20 Internationals,Darren Bravo  (West Indies),False
3703,One Day Internationals,Darren Bravo  (West Indies),False
3703,Test Cricket,Darren Bravo  (West Indies),False
3863,One Day Internationals,Kraigg Brathwaite  (West Indies),True
3863,Test Cricket,Kraigg Brathwaite  (West Indies),False
3908,T20 Internationals,Carlos Brathwaite  (West Indies),False
3908,One Day Internationals,Carlos Brathwaite  (West Indies),False
3908,Test Cricket,Carlos Brathwaite  (West Indies),True
5389,T20 Internationals,Derrick Lorenzo Brangman  (Bermuda),False
3911,T20 Internationals,Douglas Bracewell  (New Zealand),False
3911,One Day Internationals,Douglas Bracewell  (New Zealand),False
3911,Test Cricket,Douglas Bracewell  (New Zealand),True
5344,T20 Internationals,Sebastiaan Braat  (Netherlands),False
3924,T20 Internationals,Trent Boult  (New Zealand / ICC World XI),False
3924,Test Cricket,Trent Boult  (New Zealand),False
4846,T20 Internationals,Abinash Bohara  (Nepal),False
4312,Test Cricket,Jermaine Blackwood  (West Indies),False
3924,One Day Internationals,Trent Boult  (New Zealand),False
5000,T20 Internationals,Zulqarnain Haider  (Spain),False
4226,T20 Internationals,Zulfiqar Babar  (Pakistan),True
4226,One Day Internationals,Zulfiqar Babar  (Pakistan),True
4226,Test Cricket,Zulfiqar Babar  (Pakistan),True
5490,T20 Internationals,Zubaidi Zulkifle  (Malaysia),False
4730,One Day Internationals,Khayelihle Zondo  (South Africa),False
5628,T20 Internationals,Zohaib Sarwar  (Portugal),False
5238,T20 Internationals,Zishan Shah  (Denmark),False
5323,T20 Internationals,Ziaur Rehman  (Finland),False
4924,T20 Internationals,Ziaur Rahman  (Afghanistan),False
3619,T20 Internationals,Cephas Zhuwawo  (Zimbabwe),False
3619,One Day Internationals,Cephas Zhuwawo  (Zimbabwe),False
5464,T20 Internationals,Zeshan Arif  (Austria),False
4461,T20 Internationals,Zeeshan Maqsood  (Oman),False
4461,One Day Internationals,Zeeshan Maqsood  (Oman),False
5536,T20 Internationals,Zeeshan Kukikhel  (Hungary ),False
5911,T20 Internationals,Zeeshan Khan  (Malta),False
4920,T20 Internationals,Zeeshan Abbas  (Bahrain),False
5347,T20 Internationals,Zawar Farid  (United Arab Emirates),False
5347,One Day Internationals,Zawar Farid  (United Arab Emirates),False
5413,T20 Internationals,Cosmin Zavoiu  (Romania),False
5082,T20 Internationals,Sanjay Zargar  (Mexico),False
4527,T20 Internationals,Adam Zampa  (Australia),False
4527,One Day Internationals,Adam Zampa  (Australia),False
5314,T20 Internationals,Zameer Khan  (Denmark),False
2953,One Day Internationals,Zakir Hasan  (Bangladesh),True
4733,T20 Internationals,Zakir Hasan  (Bangladesh),False
5110,T20 Internationals,Zaki Ul Hassan  (Belgium),False
5065,T20 Internationals,Zain Ul Tashnam  (Costa Rica),False
4632,T20 Internationals,Zahoor Khan  (United Arab Emirates),False
4632,One Day Internationals,Zahoor Khan  (United Arab Emirates),False
4782,One Day Internationals,Zahir Khan  (Afghanistan),False
4782,Test Cricket,Zahir Khan  (Afghanistan),False
4903,T20 Internationals,Zaheer Ibrahim  (Qatar),False
5071,T20 Internationals,Yusuf Ebrahim  (Panama),False
5792,T20 Internationals,Yousef Shadzehisarjou  (Iran),False
5049,T20 Internationals,Kenton Young  (Belize),False
4328,T20 Internationals,Craig Young  (Ireland),False
4328,One Day Internationals,Craig Young  (Ireland),False
5702,T20 Internationals,Nikolay Yordanov  (Bulgaria),False
3898,T20 Internationals,Yasir Shah  (Pakistan),True
3898,One Day Internationals,Yasir Shah  (Pakistan),False
3898,Test Cricket,Yasir Shah  (Pakistan),False
4919,T20 Internationals,Yasir Idrees  (Kuwait),False
4996,T20 Internationals,Yasir Ali  (Spain),False
5582,T20 Internationals,Yasar Haroon  (Brazil),False
4507,T20 Internationals,Yamin Ahmadzai  (Afghanistan),True
4507,One Day Internationals,Yamin Ahmadzai  (Afghanistan),False
4507,Test Cricket,Yamin Ahmadzai  (Afghanistan),False
3786,T20 Internationals,Umesh Yadav  (India),False
3786,One Day Internationals,Umesh Yadav  (India),False
3786,Test Cricket,Umesh Yadav  (India),False
4390,One Day Internationals,Jayant Yadav  (India),True
4390,Test Cricket,Jayant Yadav  (India),True
5032,T20 Internationals,Pikky Ya France  (Namibia),False
5032,One Day Internationals,Pikky Ya France  (Namibia),False
5379,T20 Internationals,Conroy Wright  (Cayman Islands),False
5202,T20 Internationals,Ashley Wright  (Guernsey),False
4477,T20 Internationals,George Worker  (New Zealand),True
4477,One Day Internationals,George Worker  (New Zealand),False
4421,T20 Internationals,Mark Wood  (England),False
4421,One Day Internationals,Mark Wood  (England),False
4421,Test Cricket,Mark Wood  (England),False
3846,T20 Internationals,Chris Woakes  (England),True
3846,One Day Internationals,Chris Woakes  (England),False
3846,Test Cricket,Chris Woakes  (England),False
3473,T20 Internationals,Gary Wilson  (Ireland),False
3473,One Day Internationals,Gary Wilson  (Ireland),False
3473,Test Cricket,Gary Wilson  (Ireland),False
5375,T20 Internationals,Omar Willis  (Cayman Islands),False
3817,T20 Internationals,Kane Williamson  (New Zealand),False
3817,One Day Internationals,Kane Williamson  (New Zealand),False
3817,Test Cricket,Kane Williamson  (New Zealand),False
3270,T20 Internationals,Sean Williams  (Zimbabwe),False
3270,One Day Internationals,Sean Williams  (Zimbabwe),False
3270,Test Cricket,Sean Williams  (Zimbabwe),False
5522,T20 Internationals,Nolan Williams  (Iceland),False
4592,T20 Internationals,Kesrick Williams  (West Indies),False
4592,One Day Internationals,Kesrick Williams  (West Indies),False
5027,T20 Internationals,Craig Williams  (Namibia),False
5027,One Day Internationals,Craig Williams  (Namibia),False
4420,T20 Internationals,David Willey  (England),False
4420,One Day Internationals,David Willey  (England),False
4799,T20 Internationals,Jack Wildermuth  (Australia),False
5625,T20 Internationals,Srimantha Wijeyeratne  (Canada),False
5456,T20 Internationals,Sudan Wickramasekara  (Czech Republic),False
4703,T20 Internationals,Stuart Whittingham  (Scotland),False
4703,One Day Internationals,Stuart Whittingham  (Scotland),False
5440,T20 Internationals,Tony Whiteman  (Luxembourg),False
3325,T20 Internationals,Cameron White  (Australia),True
3325,One Day Internationals,Cameron White  (Australia),False
3325,Test Cricket,Cameron White  (Australia),True
4432,T20 Internationals,Ben Wheeler  (New Zealand),False
4432,One Day Internationals,Ben Wheeler  (New Zealand),True
4520,T20 Internationals,Brad Wheal  (Scotland),True
4520,One Day Internationals,Brad Wheal  (Scotland),False
5567,T20 Internationals,Andrew Westphal  (Mexico),False
5090,T20 Internationals,Daniel Weston  (Germany),False
5523,T20 Internationals,Prabhath Weerasooriya  (Iceland),False
5869,T20 Internationals,Oliver Webster  (Isle of Man),False
4436,T20 Internationals,Mark Watt  (Scotland),False
4436,One Day Internationals,Mark Watt  (Scotland),False
3737,T20 Internationals,B J Watling  (New Zealand),True
3737,One Day Internationals,B J Watling  (New Zealand),False
3737,Test Cricket,B J Watling  (New Zealand),False
5462,T20 Internationals,Sameera Waththage  (Czech Republic),False
4922,T20 Internationals,Wasim Ali  (Oman),False
4684,T20 Internationals,Washington Sundar  (India),False
4684,One Day Internationals,Washington Sundar  (India),False
5530,T20 Internationals,Washeem Abbas  (Malta),False
4486,Test Cricket,Jomel Warrican  (West Indies),False
3637,T20 Internationals,David Warner  (Australia),False
3637,One Day Internationals,David Warner  (Australia),False
3637,Test Cricket,David Warner  (Australia),False
5218,T20 Internationals,Benjamin Ward  (Jersey),False
5329,T20 Internationals,Waqas Raja  (Finland),False
4829,T20 Internationals,Waqas Maqsood  (Pakistan),False
4356,T20 Internationals,Waqas Khan  (Hong Kong),False
4356,One Day Internationals,Waqas Khan  (Hong Kong),False
4282,T20 Internationals,Waqas Barkat  (Hong Kong),False
4282,One Day Internationals,Waqas Barkat  (Hong Kong),False
5115,T20 Internationals,Waqas Ali  (Belgium),False
5227,T20 Internationals,Waqas Ahmed  (Norway),False
4951,Test Cricket,Waqar Salamkheil  (Afghanistan),False
5609,T20 Internationals,Waqar Khan  (Peru),False
5919,T20 Internationals,Waqar Abbasi  (Romania),False
5738,T20 Internationals,Tenzin Wangchuk Jnr  (Bhutan),False
3713,T20 Internationals,Chadwick Walton  (West Indies),False
3713,One Day Internationals,Chadwick Walton  (West Indies),False
3713,Test Cricket,Chadwick Walton  (West Indies),True
4956,T20 Internationals,Hayden Walsh  (West Indies),False
4956,One Day Internationals,Hayden Walsh  (West Indies / United States),False
3640,T20 Internationals,Malcolm Waller  (Zimbabwe),False
3640,One Day Internationals,Malcolm Waller  (Zimbabwe),False
