,playername
320,hington Sundar  (India)
321, Watling  (New Zealand)
322, Wheeler  (New Zealand)
323,eron White  (Australia)
324,id Willey  (England)
325,rick Williams  (West Indies)
326,e Williamson  (New Zealand)
327,y Wilson  (Ireland)
328,is Woakes  (England)
329,k Wood  (England)
330,rge Worker  (New Zealand)
331,sh Yadav  (India)
332,in Ahmadzai  (Afghanistan)
333,ir Shah  (Pakistan)
334,ig Young  (Ireland)
335,m Zampa  (Australia)
336,fiqar Babar  (Pakistan)
