match_id,score,how dismissed,strike rate,4s,6s
Matches/MatchScorecard_T20.asp?MatchCode=0376,13,cBabarHayatbAizazKhan,61.90,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0354,19,bBilawalBhatti,75.00,0,2
Matches/MatchScorecard_ODI.asp?MatchCode=3483,28,st†MurphybDavey,44.44,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3482,7,cMachanbWardlaw,58.33,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0313,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0310,34,cMommsenbCarter,81.08,2,1
Matches/MatchScorecard_T20.asp?MatchCode=0271,4,cBairstowbBroad,36.36,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0268,6,c†DhonibYuvrajSingh,66.67,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3437,76,cClarkebStarc,62.26,6,0
Matches/MatchScorecard_ODI.asp?MatchCode=3407,8,notout,77.78,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=3406,27,c†BarresibSeelaar,60.98,2,0
Matches/MatchScorecard_ODI.asp?MatchCode=3310,17,cSurkaribRizwanCheema,83.33,0,1
Matches/MatchScorecard_ODI.asp?MatchCode=3778,11,cGuptillbBoult,50.00,2,0
Matches/MatchScorecard_T20.asp?MatchCode=0684,33,csubbArifulHaque,158.82,0,3
Matches/MatchScorecard_ODI.asp?MatchCode=3773,4,cSmithbJohnson,40.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0712,36,bLittle,103.33,1,2
Matches/MatchScorecard_T20.asp?MatchCode=0615,15,cSRThompsonbMcBrine,240.00,1,1
Matches/MatchScorecard_T20.asp?MatchCode=0614,5,cGJThompsonbMcCarthy,57.14,1,0
Matches/MatchScorecard_T20.asp?MatchCode=0613,24,notout,153.85,2,1
Matches/MatchScorecard_ODI.asp?MatchCode=3722,9,c†WilsonbBalbirnie,50.00,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=3730,45,c†WilsonbMooney,53.66,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=3138,20,lbwbCusack,48.78,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0187,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0130,1,cWhitebJohnston,20.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3623,106,notout,87.38,6,3
Matches/MatchScorecard_T20.asp?MatchCode=0154,36,cKhanbKumar,90.91,0,3
Matches/MatchScorecard_ODI.asp?MatchCode=3938,69,cSabbirRahmanbMosaddeckHossain,60.00,4,2
Matches/MatchScorecard_ODI.asp?MatchCode=3936,12,cMahmudullahbTaskinAhmed,100.00,0,1
Matches/MatchScorecard_ODI.asp?MatchCode=3871,2,cChibhabhabMadziva,13.33,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3869,7,cMadzivabChisoro,85.71,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=3941,1,runout,25.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3649,9,c†ChakabvabChatara,25.00,1,0
Matches/MatchScorecard_T20.asp?MatchCode=0334,50,st†OumabVaraiya,126.47,3,2
Matches/MatchScorecard_ODI.asp?MatchCode=3561,9,bNgoche,34.62,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3560,3,notout,100.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3754,1,cMahmudullahbMashrafeMortaza,14.29,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0681,27,runout,104.17,0,1
Matches/MatchScorecard_T20.asp?MatchCode=0683,4,st†MushfiqurRahimbMosaddeckHossain,50.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3620,43,cMohammadHafeezbShahidAfridi,43.96,3,0
Matches/MatchScorecard_ODI.asp?MatchCode=3309,5,cRizwanCheemabPatel,31.25,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3153,79,cLootsbCooper,94.12,5,3
Matches/MatchScorecard_ODI.asp?MatchCode=3147,29,notout,50.91,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=3142,26,c†OumabNgoche,53.33,2,0
Matches/MatchScorecard_ODI.asp?MatchCode=3089,36,bRizwanCheema,47.14,3,0
Matches/MatchScorecard_ODI.asp?MatchCode=3135,30,lbwbKhurramChohan,70.00,2,0
Matches/MatchScorecard_T20.asp?MatchCode=0163,3,cSteynbLangeveldt,50.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0587,12,cShaimanAnwarbRohanMustafa,111.11,0,1
Matches/MatchScorecard_T20.asp?MatchCode=0586,34,bAmjadJaved,145.00,1,2
Matches/MatchScorecard_T20.asp?MatchCode=0585,14,bMohammadNaveed,100.00,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=3867,1,bChigumbura,50.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3864,9,runout,28.13,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3850,44,cSikandarRazabMasakadza,65.52,2,2
Matches/MatchScorecard_ODI.asp?MatchCode=3849,38,bWilliams,53.33,4,1
Matches/MatchScorecard_ODI.asp?MatchCode=3847,0,c†MutumbamibJongwe,0.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3846,42,cJongwebPanyangara,108.33,3,0
Matches/MatchScorecard_ODI.asp?MatchCode=3843,6,cErvinebJongwe,55.56,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=3626,32,bNLTCPerera,79.41,5,0
Matches/MatchScorecard_T20.asp?MatchCode=0336,17,cGondariabOtieno,51.61,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=4379,105,cShepherdbJoseph,101.18,3,6
Matches/MatchScorecard_ODI.asp?MatchCode=4378,3,cLewisbChase,37.50,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4136,2,st†TaylorbCremer,20.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4134,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3913,5,cBerringtonbEvans,50.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3912,22,cdeLangebWheal,100.00,2,0
Matches/MatchScorecard_T20.asp?MatchCode=0551,81,c†ChandimalbPerera,131.91,3,4
Matches/MatchScorecard_T20.asp?MatchCode=0453,35,bAizazKhan,96.67,2,2
Matches/MatchScorecard_T20.asp?MatchCode=0444,39,runout,109.68,3,1
Matches/MatchScorecard_T20.asp?MatchCode=0441,52,notout,133.33,2,3
Matches/MatchScorecard_T20.asp?MatchCode=0440,2,lbwbMudassarBukhari,40.00,0,0
