match_id,score,how dismissed
Matches/MatchScorecard_ODI.asp?MatchCode=4061,97,notout
Matches/MatchScorecard_ODI.asp?MatchCode=4038,0,c†DickwellabPradeep
Matches/MatchScorecard_T20.asp?MatchCode=0647,15,cBoultbSodhi
Matches/MatchScorecard_ODI.asp?MatchCode=4047,113,notout
Matches/MatchScorecard_T20.asp?MatchCode=0632,98,cShanakabUdana
Matches/MatchScorecard_T20.asp?MatchCode=0607,24,cDawsonbJordan
Matches/MatchScorecard_T20.asp?MatchCode=0606,33,cMorganbAli
Matches/MatchScorecard_ODI.asp?MatchCode=3978,67,c†ButtlerbStokes
Matches/MatchScorecard_ODI.asp?MatchCode=3976,10,cStokesbWoakes
Matches/MatchScorecard_ODI.asp?MatchCode=3974,139,cWilleybStokes
Matches/MatchScorecard_T20.asp?MatchCode=0645,29,notout
Matches/MatchScorecard_T20.asp?MatchCode=0608,2,runout
Matches/MatchScorecard_ODI.asp?MatchCode=3955,72,cGuptillbSodhi
Matches/MatchScorecard_ODI.asp?MatchCode=3954,48,c†WatlingbSodhi
Matches/MatchScorecard_ODI.asp?MatchCode=3953,175,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3952,10,c†RonchibSantner
Matches/MatchScorecard_ODI.asp?MatchCode=3951,99,notout
Matches/MatchScorecard_T20.asp?MatchCode=0576,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0575,19,c†FletcherbBravo
Matches/MatchScorecard_T20.asp?MatchCode=0534,46,notout
Matches/MatchScorecard_T20.asp?MatchCode=0569,109,notout
Matches/MatchScorecard_T20.asp?MatchCode=0560,25,bShuvagataHom
Matches/MatchScorecard_T20.asp?MatchCode=0548,25,c†RonchibSodhi
Matches/MatchScorecard_T20.asp?MatchCode=0530,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0522,8,cMahmudullahbMashrafeMortaza
Matches/MatchScorecard_T20.asp?MatchCode=0501,61,bBoyce
Matches/MatchScorecard_T20.asp?MatchCode=0499,75,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3876,130,cBaileybHastings
Matches/MatchScorecard_ODI.asp?MatchCode=3875,67,runout
Matches/MatchScorecard_T20.asp?MatchCode=0528,71,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3781,49,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3811,26,bShakibAlHasan
Matches/MatchScorecard_ODI.asp?MatchCode=3810,27,lbwbNasirHossain
Matches/MatchScorecard_ODI.asp?MatchCode=3808,1,c†MushfiqurRahimbTaskinAhmed
Matches/MatchScorecard_ODI.asp?MatchCode=3775,38,cSamuelsbRussell
Matches/MatchScorecard_ODI.asp?MatchCode=3791,3,c†MushfiqurRahimbRubelHossain
Matches/MatchScorecard_ODI.asp?MatchCode=3786,42,bSikandarRaza
Matches/MatchScorecard_ODI.asp?MatchCode=3768,38,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3751,119,c†UmarAkmalbSohailKhan
Matches/MatchScorecard_ODI.asp?MatchCode=3744,8,cRootbAli
Matches/MatchScorecard_ODI.asp?MatchCode=3735,4,c†ButtlerbFinn
Matches/MatchScorecard_ODI.asp?MatchCode=3680,71,cSamuelsbRampaul
Matches/MatchScorecard_ODI.asp?MatchCode=3683,147,runout
Matches/MatchScorecard_ODI.asp?MatchCode=3667,43,cTredwellbStokes
Matches/MatchScorecard_ODI.asp?MatchCode=3664,0,cCookbWoakes
Matches/MatchScorecard_ODI.asp?MatchCode=3678,2,cSammybTaylor
Matches/MatchScorecard_T20.asp?MatchCode=0411,84,cHalesbFinn
Matches/MatchScorecard_T20.asp?MatchCode=0406,94,runout
Matches/MatchScorecard_ODI.asp?MatchCode=3672,15,cCookbAnderson
Matches/MatchScorecard_T20.asp?MatchCode=0395,69,notout
Matches/MatchScorecard_T20.asp?MatchCode=0388,68,bRussell
Matches/MatchScorecard_T20.asp?MatchCode=0384,41,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3670,1,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3612,96,csubbNLMcCullum
Matches/MatchScorecard_ODI.asp?MatchCode=3609,2,cNeeshambSouthee
Matches/MatchScorecard_ODI.asp?MatchCode=3607,7,c†RonchibBennett
Matches/MatchScorecard_ODI.asp?MatchCode=3603,91,csubbSouthee
Matches/MatchScorecard_ODI.asp?MatchCode=3601,140,cRyderbMcClenaghan
Matches/MatchScorecard_ODI.asp?MatchCode=3583,22,c†CharlesbRampaul
Matches/MatchScorecard_ODI.asp?MatchCode=3581,112,cHolderbRampaul
Matches/MatchScorecard_ODI.asp?MatchCode=3580,101,cNarinebHolder
Matches/MatchScorecard_ODI.asp?MatchCode=3588,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3530,2,c†SangakkarabEranga
Matches/MatchScorecard_ODI.asp?MatchCode=3510,26,bNarine
Matches/MatchScorecard_ODI.asp?MatchCode=3459,16,c†KieswetterbBresnan
Matches/MatchScorecard_ODI.asp?MatchCode=3568,138,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3565,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3564,81,c†HaddinbMaxwell
Matches/MatchScorecard_ODI.asp?MatchCode=3563,119,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3562,71,lbwbWatson
Matches/MatchScorecard_T20.asp?MatchCode=0335,32,cFaulknerbMcKay
Matches/MatchScorecard_ODI.asp?MatchCode=3587,0,c†deKockbTsotsobe
Matches/MatchScorecard_ODI.asp?MatchCode=3521,12,cGaylebSammy
Matches/MatchScorecard_ODI.asp?MatchCode=3519,48,cBoparabAnderson
Matches/MatchScorecard_ODI.asp?MatchCode=3518,67,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3514,25,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3457,8,cYounisKhanbJunaidKhan
Matches/MatchScorecard_ODI.asp?MatchCode=3586,36,cKallisbMcLaren
Matches/MatchScorecard_ODI.asp?MatchCode=3456,7,c†KamranAkmalbJunaidKhan
Matches/MatchScorecard_ODI.asp?MatchCode=3572,0,runout
Matches/MatchScorecard_ODI.asp?MatchCode=3470,0,cTredwellbBresnan
Matches/MatchScorecard_ODI.asp?MatchCode=3468,29,c&amp;bTredwell
Matches/MatchScorecard_ODI.asp?MatchCode=3463,92,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3461,39,cBellbWoakes
Matches/MatchScorecard_ODI.asp?MatchCode=3455,0,bJunaidKhan
Matches/MatchScorecard_T20.asp?MatchCode=0301,30,runout
Matches/MatchScorecard_T20.asp?MatchCode=0299,10,c†KamranAkmalbMohammadIrfan
Matches/MatchScorecard_T20.asp?MatchCode=0297,45,lbwbMeaker
Matches/MatchScorecard_T20.asp?MatchCode=0295,23,bMeaker
Matches/MatchScorecard_T20.asp?MatchCode=0264,89,csubbFranklin
Matches/MatchScorecard_T20.asp?MatchCode=0285,96,notout
Matches/MatchScorecard_T20.asp?MatchCode=0275,46,cBairstowbSwann
Matches/MatchScorecard_T20.asp?MatchCode=0268,64,cMohammadNabibDawlatZadran
Matches/MatchScorecard_ODI.asp?MatchCode=3369,90,runout
Matches/MatchScorecard_ODI.asp?MatchCode=3434,145,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3433,40,c&amp;bHerath
Matches/MatchScorecard_ODI.asp?MatchCode=3432,1,c†SangakkarabPerera
Matches/MatchScorecard_ODI.asp?MatchCode=3431,119,csubbPerera
Matches/MatchScorecard_T20.asp?MatchCode=0257,88,cThirimannebEranga
Matches/MatchScorecard_ODI.asp?MatchCode=3435,25,lbwbPradeep
Matches/MatchScorecard_T20.asp?MatchCode=0244,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3399,210,cMohammadHafeezbUmarGul
Matches/MatchScorecard_ODI.asp?MatchCode=3397,75,bAbdurRazzak
Matches/MatchScorecard_ODI.asp?MatchCode=3395,119,cThirimannebMaharoof
Matches/MatchScorecard_ODI.asp?MatchCode=3387,155,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3375,16,lbwbPerera
Matches/MatchScorecard_ODI.asp?MatchCode=3214,61,cSmithbSteyn
Matches/MatchScorecard_ODI.asp?MatchCode=3327,17,c†KieswetterbSwann
Matches/MatchScorecard_T20.asp?MatchCode=0216,18,cHalesbBresnan
Matches/MatchScorecard_ODI.asp?MatchCode=3346,0,bFinn
Matches/MatchScorecard_ODI.asp?MatchCode=3343,101,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3341,40,lbwbSwann
Matches/MatchScorecard_ODI.asp?MatchCode=3337,132,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3335,37,cPietersenbPatel
Matches/MatchScorecard_ODI.asp?MatchCode=3331,121,hitwicketbSwann
Matches/MatchScorecard_ODI.asp?MatchCode=3325,7,c†KieswetterbAnderson
Matches/MatchScorecard_ODI.asp?MatchCode=3259,14,bBorren
Matches/MatchScorecard_T20.asp?MatchCode=0198,33,bBotha
Matches/MatchScorecard_T20.asp?MatchCode=0206,4,c†KieswetterbBroad
Matches/MatchScorecard_ODI.asp?MatchCode=3323,9,cBellbSwann
Matches/MatchScorecard_ODI.asp?MatchCode=3256,37,runout
Matches/MatchScorecard_ODI.asp?MatchCode=3282,9,cUmarAkmalbWahabRiaz
Matches/MatchScorecard_ODI.asp?MatchCode=3278,25,cClarkebDJHussey
Matches/MatchScorecard_ODI.asp?MatchCode=3276,68,bRampaul
Matches/MatchScorecard_ODI.asp?MatchCode=3322,63,bPatel
Matches/MatchScorecard_ODI.asp?MatchCode=3245,9,bBresnan
Matches/MatchScorecard_ODI.asp?MatchCode=3235,114,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3283,39,c&amp;bDilshan
Matches/MatchScorecard_ODI.asp?MatchCode=3215,23,runout
Matches/MatchScorecard_ODI.asp?MatchCode=3072,117,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3193,134,cHopesbHastings
Matches/MatchScorecard_ODI.asp?MatchCode=3071,84,notout
