match_id,score,how dismissed,strike rate,4s,6s,batting position,player_name
Matches/MatchScorecard_T20.asp?MatchCode=0297,1,cLumbbDernbach,33.33,0,0,Middle Order,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0295,-,dnb,-,-,-,Middle Order,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0264,-,dnb,-,-,-,Tail,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0285,-,dnb,-,-,-,Tail,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0281,19,notout,133.33,1,1,Middle Order,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0268,-,dnb,-,-,-,Tail,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0257,-,dnb,-,-,-,Tail,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0244,-,dnb,-,-,-,Tail,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0220,-,dnb,-,-,-,Tail,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0289,-,dnb,-,-,-,Tail,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0219,16,notout,93.75,1,0,Middle Order,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0216,20,notout,154.55,3,0,Tail,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0198,-,dnb,-,-,-,Middle Order,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0206,5,runout,200.00,1,0,Middle Order,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0202,-,dnb,-,-,-,Tail,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0183,-,dnb,-,-,-,Middle Order,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0184,-,dnb,-,-,-,Tail,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0684,-,dnb,-,-,-,Tail,Abu Jayed  (Bangladesh)
Matches/MatchScorecard_T20.asp?MatchCode=0681,1,cRashidKhanbKarimJanat,25.00,0,0,Tail,Abu Jayed  (Bangladesh)
Matches/MatchScorecard_T20.asp?MatchCode=0666,2,st†ChandimalbGunathilaka,66.67,0,0,Tail,Abu Jayed  (Bangladesh)
Matches/MatchScorecard_T20.asp?MatchCode=0576,22,st†DhonibAshwin,100.00,3,0,Middle Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0575,0,bBumrah,0.00,0,0,Middle Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0569,107,notout,160.78,7,5,Middle Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0388,32,cDhawanbJadeja,122.73,1,2,Middle Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0106,49,cIKPathanbOjha,118.92,5,0,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0570,0,lbwbWilley,0.00,0,0,Middle Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0368,22,c†ButtlerbWright,146.15,3,0,Middle Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0367,3,cLumbbBopara,42.86,0,0,Middle Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0370,88,runout,125.45,7,2,Middle Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0248,7,cBairstowbBroad,120.00,1,0,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0403,37,runout,106.90,2,2,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0326,3,bShahidAfridi,18.75,0,0,Middle Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0325,8,bZulfiqarBabar,120.00,0,1,Middle Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0625,8,bRashidKhan,200.00,0,1,Middle Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=1065,87,notout,148.89,4,4,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=1063,2,cSharmabChahar,50.00,0,0,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0357,0,c†RonchibMilne,0.00,0,0,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0409,43,cAndersonbSodhi,105.88,3,2,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0408,1,lbwbBoult,33.33,0,0,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0358,36,cNeeshambMcClenaghan,152.63,5,1,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0394,29,cMaxwellbBollinger,108.33,3,0,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0391,0,st†MushfiqurRahimbShakibAlHasan,0.00,0,0,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0294,20,notout,150.00,2,0,Middle Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0211,27,lbwbAbdurRazzak,95.83,2,1,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0627,18,cNajibullahZadranbRashidKhan,150.00,1,1,Middle Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0617,1,lbwbHasanAli,50.00,0,0,Middle Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0616,1,bShadabKhan,33.33,0,0,Middle Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0626,18,notout,121.43,1,0,Middle Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0619,1,runout,25.00,0,0,Middle Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0618,5,notout,400.00,1,0,Middle Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0424,59,cDuminybWiese,158.06,6,2,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0147,6,cTaitbNannes,83.33,1,0,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0312,46,cErvinebM'shangwe,105.13,1,2,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=1073,124,notout,227.50,5,10,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=1072,13,cTectorbStirling,200.00,1,1,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=1071,27,cDockrellbLittle,157.14,3,1,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=1060,8,bMujeebUrRahman,63.64,1,0,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=1067,8,cIyerbMohammedShami,63.64,1,0,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0365,12,lbwbO'Brien,66.67,0,0,Middle Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0364,18,cThompsonbCusack,69.57,2,0,Middle Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0101,34,cJayawardenebMuralitharan,152.63,5,0,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0116,0,bMathews,0.00,0,0,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0201,84,runout,147.73,7,2,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=1122,9,bMathews,112.50,0,0,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=1119,86,notout,131.37,7,2,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0202,10,cKohlibAshwin,100.00,1,0,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0410,-,dnb,-,-,-,,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0404,4,lbwbPrasanna,50.00,0,0,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0309,84,notout,128.57,1,6,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0250,22,cSoutheebMcCullum,112.50,0,2,Middle Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0107,99,cdeVilliersbvanderMerwe,154.00,12,1,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0112,0,cSidebottombBroad,0.00,0,0,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0087,24,notout,71.88,1,0,Middle Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0016,11,cBroadbAnderson,75.00,2,0,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0706,5,notout,133.33,1,0,Tail,Adil Rashid  (England)
Matches/MatchScorecard_T20.asp?MatchCode=0704,-,dnb,-,-,-,Tail,Adil Rashid  (England)
Matches/MatchScorecard_T20.asp?MatchCode=0699,-,dnb,-,-,-,Tail,Adil Rashid  (England)
Matches/MatchScorecard_T20.asp?MatchCode=0607,-,dnb,-,-,-,Tail,Adil Rashid  (England)
Matches/MatchScorecard_T20.asp?MatchCode=0606,-,dnb,-,-,-,Tail,Adil Rashid  (England)
Matches/MatchScorecard_T20.asp?MatchCode=0608,0,notout,0.00,0,0,Tail,Adil Rashid  (England)
Matches/MatchScorecard_T20.asp?MatchCode=0770,-,dnb,-,-,-,Tail,Adil Rashid  (England)
Matches/MatchScorecard_T20.asp?MatchCode=0769,-,dnb,-,-,-,Tail,Adil Rashid  (England)
Matches/MatchScorecard_T20.asp?MatchCode=0768,-,dnb,-,-,-,Tail,Adil Rashid  (England)
Matches/MatchScorecard_T20.asp?MatchCode=0721,6,bUdana,166.67,1,0,Middle Order,Adil Rashid  (England)
Matches/MatchScorecard_T20.asp?MatchCode=0661,-,dnb,-,-,-,Tail,Adil Rashid  (England)
Matches/MatchScorecard_T20.asp?MatchCode=0660,1,cStoinisbStanlake,25.00,0,0,Tail,Adil Rashid  (England)
Matches/MatchScorecard_T20.asp?MatchCode=0694,-,dnb,-,-,-,Tail,Adil Rashid  (England)
Matches/MatchScorecard_T20.asp?MatchCode=0665,-,dnb,-,-,-,Tail,Adil Rashid  (England)
Matches/MatchScorecard_T20.asp?MatchCode=0662,9,notout,133.33,1,0,Tail,Adil Rashid  (England)
Matches/MatchScorecard_T20.asp?MatchCode=0633,1,c†WaltonbWilliams,50.00,0,0,Middle Order,Adil Rashid  (England)
Matches/MatchScorecard_T20.asp?MatchCode=0580,-,dnb,-,-,-,Tail,Adil Rashid  (England)
Matches/MatchScorecard_T20.asp?MatchCode=0568,-,dnb,-,-,-,Tail,Adil Rashid  (England)
Matches/MatchScorecard_T20.asp?MatchCode=0564,-,dnb,-,-,-,Tail,Adil Rashid  (England)
Matches/MatchScorecard_T20.asp?MatchCode=0553,0,notout,0.00,0,0,Tail,Adil Rashid  (England)
Matches/MatchScorecard_T20.asp?MatchCode=0550,-,dnb,-,-,-,Tail,Adil Rashid  (England)
Matches/MatchScorecard_T20.asp?MatchCode=0570,4,notout,100.00,0,0,Tail,Adil Rashid  (England)
Matches/MatchScorecard_T20.asp?MatchCode=0518,2,bRabada,66.67,0,0,Tail,Adil Rashid  (England)
Matches/MatchScorecard_T20.asp?MatchCode=0516,2,cAmlabAbbott,33.33,0,0,Tail,Adil Rashid  (England)
Matches/MatchScorecard_T20.asp?MatchCode=0482,3,notout,150.00,0,0,Tail,Adil Rashid  (England)
Matches/MatchScorecard_T20.asp?MatchCode=0481,-,dnb,-,-,-,Middle Order,Adil Rashid  (England)
Matches/MatchScorecard_T20.asp?MatchCode=0465,-,dnb,-,-,-,Middle Order,Adil Rashid  (England)
Matches/MatchScorecard_T20.asp?MatchCode=0432,8,notout,233.33,1,0,Tail,Adil Rashid  (England)
Matches/MatchScorecard_T20.asp?MatchCode=1054,-,dnb,-,-,-,Tail,Adil Rashid  (England)
Matches/MatchScorecard_T20.asp?MatchCode=1040,4,bMitchell,66.67,0,0,Tail,Adil Rashid  (England)
Matches/MatchScorecard_T20.asp?MatchCode=1035,-,dnb,-,-,-,Tail,Adil Rashid  (England)
Matches/MatchScorecard_T20.asp?MatchCode=1087,-,dnb,-,-,-,Tail,Adil Rashid  (England)
Matches/MatchScorecard_T20.asp?MatchCode=1082,1,runout,100.00,0,0,Tail,Adil Rashid  (England)
Matches/MatchScorecard_T20.asp?MatchCode=1084,-,dnb,-,-,-,Tail,Adil Rashid  (England)
Matches/MatchScorecard_T20.asp?MatchCode=0791,-,dnb,-,-,-,Middle Order,Adil Rashid  (England)
Matches/MatchScorecard_T20.asp?MatchCode=0574,-,dnb,-,-,-,Tail,Adil Rashid  (England)
Matches/MatchScorecard_T20.asp?MatchCode=0559,-,dnb,-,-,-,Tail,Adil Rashid  (England)
Matches/MatchScorecard_T20.asp?MatchCode=0486,-,dnb,-,-,-,Tail,Adil Rashid  (England)
Matches/MatchScorecard_T20.asp?MatchCode=0096,-,dnb,-,-,-,Middle Order,Adil Rashid  (England)
Matches/MatchScorecard_T20.asp?MatchCode=0127,1,runout,50.00,0,0,Tail,Adil Rashid  (England)
Matches/MatchScorecard_T20.asp?MatchCode=0104,9,notout,52.94,0,0,Tail,Adil Rashid  (England)
Matches/MatchScorecard_T20.asp?MatchCode=0112,-,dnb,-,-,-,Tail,Adil Rashid  (England)
Matches/MatchScorecard_T20.asp?MatchCode=0091,-,dnb,-,-,-,Middle Order,Adil Rashid  (England)
Matches/MatchScorecard_T20.asp?MatchCode=0631,-,dnb,-,-,-,Middle Order,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0576,22,bMishra,180.00,2,1,Tail,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0575,17,runout,140.00,1,1,Middle Order,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0569,-,dnb,-,-,-,Tail,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0770,0,c†BairstowbWood,0.00,0,0,Middle Order,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0769,12,cWilleybRashid,250.00,0,1,Middle Order,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0768,0,c†BairstowbRashid,0.00,0,0,Middle Order,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0633,2,bRashid,50.00,0,0,Middle Order,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0550,-,dnb,-,-,-,Middle Order,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0570,43,notout,340.00,1,4,Middle Order,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0625,-,dnb,-,-,-,Middle Order,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0565,17,cNajibullahZadranbMohammadNabi,162.50,0,2,Tail,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0653,18,cBrucebBoult,107.14,1,1,Middle Order,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0652,-,dnb,-,-,-,,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0651,25,cBrucebSouthee,150.00,0,2,Middle Order,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0872,9,c&amp;bPandya,37.50,0,0,Middle Order,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0874,-,dnb,-,-,-,Middle Order,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0735,9,cMehidyHasanMirazbMustafizurRahman,114.29,1,0,Middle Order,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0734,9,st†MushfiqurRahimbShakibAlHasan,233.33,0,1,Middle Order,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0733,-,dnb,-,-,-,Middle Order,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0707,-,dnb,-,-,-,Middle Order,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0710,5,csubbAbuHider,50.00,0,0,Middle Order,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0709,14,cLitonDasbShakibAlHasan,157.14,1,1,Middle Order,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0211,1,cNasirHossainbShafiulIslam,50.00,0,0,Tail,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0877,12,cWashingtonSundarbRDChahar,142.86,0,1,Middle Order,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0728,-,dnb,-,-,-,Middle Order,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0727,17,notout,78.95,0,1,Middle Order,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0682,-,dnb,-,-,-,Middle Order,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0725,4,lbwbKuldeepYadav,36.36,0,0,Middle Order,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0627,-,dnb,-,-,-,Middle Order,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0617,16,bWahabRiaz,65.22,1,0,Middle Order,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0616,40,notout,125.93,2,2,Middle Order,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0626,10,notout,160.00,0,1,Middle Order,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0619,43,notout,154.17,2,2,Middle Order,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0618,-,dnb,-,-,-,Middle Order,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0584,-,dnb,-,-,-,Middle Order,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0583,9,cUmarAkmalbHasanAli,133.33,1,0,Middle Order,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0582,0,cKhalidLatifbImadWasim,0.00,0,0,Middle Order,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0562,12,notout,100.00,0,1,Middle Order,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0556,-,dnb,-,-,-,Tail,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0424,1,cHendricksbWiese,50.00,0,0,Tail,Carlos Brathwaite  (West Indies)
Matches/MatchScorecard_T20.asp?MatchCode=0469,-,dnb,-,-,-,Tail,Imran Tahir  (South Africa)
Matches/MatchScorecard_T20.asp?MatchCode=0468,-,dnb,-,-,-,Tail,Imran Tahir  (South Africa)
Matches/MatchScorecard_T20.asp?MatchCode=0405,-,dnb,-,-,-,Tail,Imran Tahir  (South Africa)
Matches/MatchScorecard_T20.asp?MatchCode=0630,-,dnb,-,-,-,Tail,Imran Tahir  (South Africa)
Matches/MatchScorecard_T20.asp?MatchCode=0628,-,dnb,-,-,-,Tail,Imran Tahir  (South Africa)
Matches/MatchScorecard_T20.asp?MatchCode=0553,-,dnb,-,-,-,Tail,Imran Tahir  (South Africa)
Matches/MatchScorecard_T20.asp?MatchCode=0518,-,dnb,-,-,-,Tail,Imran Tahir  (South Africa)
Matches/MatchScorecard_T20.asp?MatchCode=0516,-,dnb,-,-,-,Tail,Imran Tahir  (South Africa)
Matches/MatchScorecard_T20.asp?MatchCode=0397,-,dnb,-,-,-,Tail,Imran Tahir  (South Africa)
Matches/MatchScorecard_T20.asp?MatchCode=0609,-,dnb,-,-,-,Tail,Imran Tahir  (South Africa)
Matches/MatchScorecard_T20.asp?MatchCode=0389,-,dnb,-,-,-,Tail,Imran Tahir  (South Africa)
Matches/MatchScorecard_T20.asp?MatchCode=0539,-,dnb,-,-,-,Tail,Imran Tahir  (South Africa)
Matches/MatchScorecard_T20.asp?MatchCode=0533,-,dnb,-,-,-,Tail,Imran Tahir  (South Africa)
Matches/MatchScorecard_T20.asp?MatchCode=0532,-,dnb,-,-,-,Tail,Imran Tahir  (South Africa)
Matches/MatchScorecard_T20.asp?MatchCode=0414,-,dnb,-,-,-,Tail,Imran Tahir  (South Africa)
Matches/MatchScorecard_T20.asp?MatchCode=0371,-,dnb,-,-,-,Tail,Imran Tahir  (South Africa)
Matches/MatchScorecard_T20.asp?MatchCode=0392,10,notout,128.57,1,0,Tail,Imran Tahir  (South Africa)
Matches/MatchScorecard_T20.asp?MatchCode=0562,-,dnb,-,-,-,Tail,Imran Tahir  (South Africa)
Matches/MatchScorecard_T20.asp?MatchCode=0345,-,dnb,-,-,-,Tail,Imran Tahir  (South Africa)
Matches/MatchScorecard_T20.asp?MatchCode=0634,-,dnb,-,-,-,Tail,Imran Tahir  (South Africa)
Matches/MatchScorecard_T20.asp?MatchCode=0636,-,dnb,-,-,-,Tail,Imran Tahir  (South Africa)
Matches/MatchScorecard_T20.asp?MatchCode=0635,-,dnb,-,-,-,Tail,Imran Tahir  (South Africa)
Matches/MatchScorecard_T20.asp?MatchCode=0773,1,notout,100.00,0,0,Tail,Imran Tahir  (South Africa)
Matches/MatchScorecard_T20.asp?MatchCode=0715,-,dnb,-,-,-,Tail,Imran Tahir  (South Africa)
Matches/MatchScorecard_T20.asp?MatchCode=0605,-,dnb,-,-,-,Tail,Imran Tahir  (South Africa)
Matches/MatchScorecard_T20.asp?MatchCode=0604,1,bKulasekara,16.67,0,0,Tail,Imran Tahir  (South Africa)
Matches/MatchScorecard_T20.asp?MatchCode=0603,-,dnb,-,-,-,Tail,Imran Tahir  (South Africa)
Matches/MatchScorecard_T20.asp?MatchCode=0339,-,dnb,-,-,-,Tail,Imran Tahir  (South Africa)
Matches/MatchScorecard_T20.asp?MatchCode=0338,-,dnb,-,-,-,Tail,Imran Tahir  (South Africa)
Matches/MatchScorecard_T20.asp?MatchCode=0567,-,dnb,-,-,-,Tail,Imran Tahir  (South Africa)
Matches/MatchScorecard_T20.asp?MatchCode=0423,-,dnb,-,-,-,Tail,Imran Tahir  (South Africa)
Matches/MatchScorecard_T20.asp?MatchCode=0422,-,dnb,-,-,-,Tail,Imran Tahir  (South Africa)
Matches/MatchScorecard_T20.asp?MatchCode=0413,-,dnb,-,-,-,Tail,Imran Tahir  (South Africa)
Matches/MatchScorecard_T20.asp?MatchCode=0385,10,notout,200.00,0,1,Tail,Imran Tahir  (South Africa)
Matches/MatchScorecard_T20.asp?MatchCode=0555,-,dnb,-,-,-,Tail,Imran Tahir  (South Africa)
Matches/MatchScorecard_T20.asp?MatchCode=0329,-,dnb,-,-,-,Tail,Imran Tahir  (South Africa)
