match_id,score,how dismissed,strike rate,4s,6s,batting position,player_name
Matches/MatchScorecard_ODI.asp?MatchCode=3359,44,c†PatelbJadeja,102.86,6,1,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3357,1,c†PatelbVinayKumar,12.50,0,0,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3355,92,runout,76.47,8,1,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3793,15,cGuptillbBoult,70.59,1,1,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3598,9,cWilliamsonbAnderson,47.37,0,0,Middle Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3597,49,cGuptillbWilliamson,89.58,6,0,Middle Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3596,16,cMilnebMcClenaghan,118.18,1,1,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3593,40,cTaylorbMills,79.07,4,1,Middle Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3336,93,lbwbShakibAlHasan,64.00,3,3,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3334,138,cAlokKapalibRubelHossain,98.39,8,2,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3090,33,cClarkebBollinger,65.91,4,0,Middle Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3752,125,cDockrellbSorensen,121.43,9,5,Middle Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3424,3,c†WatlingbSouthee,17.65,0,0,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3422,0,c†WatlingbMills,0.00,0,0,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3757,62,runout,108.70,4,2,Middle Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3538,30,cMohammadHafeezbSaeedAjmal,96.15,1,2,Middle Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3535,53,bSaeedAjmal,104.55,5,1,Middle Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3533,90,cAhmedShehzadbSaeedAjmal,87.21,7,2,Middle Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3532,10,c†UmarAkmalbShahidAfridi,66.67,0,0,Middle Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3531,10,st†UmarAkmalbShahidAfridi,21.74,0,0,Middle Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3291,94,notout,105.48,7,3,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3289,63,c&amp;bSaeedAjmal,79.69,4,2,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3288,63,cUmarAkmalbShahidAfridi,106.25,4,2,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3287,25,c†MohammadSalmanbSaeedAjmal,54.55,1,0,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3290,90,cUsmanSalahuddinbTanvirAhmed,108.57,4,3,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3788,-,dnb,-,-,-,Middle Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3661,7,cMahmudullahbMashrafeMortaza,50.00,1,0,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3657,43,cMahmudullahbMashrafeMortaza,65.57,3,0,Middle Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3655,0,c†MushfiqurRahimbAl-AminHossain,0.00,0,0,Middle Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3527,84,cThirimannebEranga,85.90,5,4,Middle Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3450,15,lbwbMashrafeMortaza,52.00,2,0,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3296,51,cKohlibMishra,66.18,4,1,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3298,6,cMishrabVinayKumar,37.50,0,0,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3297,80,runout,85.90,3,3,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3082,1,c†HaddinbBollinger,25.00,0,0,Middle Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3080,30,c†HaddinbWatson,46.77,1,0,Middle Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3766,0,lbwbImranTahir,0.00,0,0,Middle Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=2572,24,bMohammadSami,60.00,3,0,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=2569,81,bNaved-ul-Hasan,53.85,7,0,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=2566,0,c†KamranAkmalbUmarGul,0.00,0,0,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3295,64,st†PatelbPathan,63.10,3,2,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3294,7,cHarbhajanSinghbKumar,26.09,1,0,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3629,19,bBroad,76.19,3,0,Middle Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3622,75,cAlibBresnan,69.15,6,0,Middle Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3625,82,cStokesbParry,71.43,4,2,Middle Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3414,13,runout,24.00,1,0,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3412,17,bAnderson,93.75,2,0,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3451,11,cTamimIqbalbSohagGazi,64.29,0,1,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=2594,19,cUthappabPowar,70.83,2,0,Middle Order,Lendl Simmons  (West Indies)
