Match_id,Score,Overs,Maidens,Wicket,Economy,player_name
Matches/MatchScorecard_ODI.asp?MatchCode=3563,25,8.0,0,1,6.25,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3564,0,9.0,0,0,6.44,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3335,77,8.1,0,3,4.29,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3337,25,10.0,0,1,5.6,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3341,2,10.0,0,0,4.5,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3431,54,10.0,1,2,4.6,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3432,31,5.0,1,1,3.6,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3768,112,10.0,1,4,2.5,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3775,27,9.0,0,1,4.22,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3786,23,10.0,0,1,7.5,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3795,27,10.0,0,1,4.2,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3974,-2,8.0,0,0,7.88,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3628,91,10.0,3,3,3.1,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3976,75,10.0,0,3,6.5,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3118,50,10.0,0,2,5.0,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3208,54,9.0,1,2,5.44,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3212,83,8.0,1,3,3.0,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3278,50,10.0,0,2,5.2,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3331,0,4.0,0,0,6.25,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3369,83,10.0,1,3,3.2,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3609,2,10.0,0,0,4.1,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3619,29,10.0,1,1,5.0,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3978,0,9.0,0,0,6.67,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=4295,133,9.0,0,5,6.44,Abu Jayed  (Bangladesh)
Matches/MatchScorecard_ODI.asp?MatchCode=4293,0,9.0,0,0,6.22,Abu Jayed  (Bangladesh)
Matches/MatchScorecard_ODI.asp?MatchCode=3357,0,2.0,0,0,5.0,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3580,0,3.0,0,0,4.67,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3581,0,1.0,0,0,5.0,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3583,0,3.0,0,0,5.67,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3596,0,2.0,0,0,14.5,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3629,0,1.0,0,0,13.0,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=2570,0,1.0,0,0,9.0,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3294,0,3.0,0,0,3.67,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3298,-2,5.0,0,0,7.4,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3355,0,3.0,0,0,4.0,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3297,25,1.0,0,1,3.0,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3752,0,1.0,0,0,12.0,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=4408,75,10.0,0,3,5.1,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4021,25,10.0,0,1,6.8,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=3925,50,9.0,0,2,5.67,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=3930,75,10.0,0,3,4.7,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4068,54,9.0,0,2,3.44,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4210,0,2.0,0,0,7.5,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4045,25,10.0,0,1,5.4,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4297,-2,7.0,0,0,7.0,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4300,50,7.5,0,2,6.89,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4308,-4,5.0,0,0,8.6,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4336,0,10.0,0,0,4.9,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4354,75,10.0,0,3,5.4,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=3804,104,10.0,0,4,5.5,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=3805,-2,10.0,0,0,7.2,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=3806,23,10.0,0,1,7.2,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=3807,19,8.0,0,1,9.38,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=3809,52,10.0,0,2,4.5,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=3946,104,9.0,0,4,5.44,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=3948,50,10.0,0,2,5.3,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=3949,106,10.0,0,4,4.3,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4314,25,10.0,0,1,6.4,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4171,25,10.0,0,1,6.2,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4173,52,10.0,0,2,3.8,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4175,75,10.0,0,3,4.9,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4001,29,9.0,1,1,4.78,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4004,50,9.0,0,2,5.89,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4321,0,10.0,0,0,6.1,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4115,48,10.0,0,2,7.1,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4168,104,10.0,0,4,4.7,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4029,0,6.0,0,0,6.83,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4303,27,8.0,0,1,4.38,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=3926,25,10.0,0,1,5.1,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=3928,48,10.0,0,2,7.3,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=4342,0,6.0,0,0,6.67,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=3887,27,10.0,0,1,4.3,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=3889,27,10.0,0,1,4.5,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=3890,48,5.2,0,2,7.13,Adil Rashid  (England)
Matches/MatchScorecard_ODI.asp?MatchCode=3891,25,10.0,0,1,5.9,Adil Rashid  (England)
